Order Priority,Discount offered,Unit Price,Freight Expenses,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,State,City,Region,Country,Order Date,Ship Date,Profit,QtyOrdered,Sales
High,0.06,40.98,2.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,2010-01-02,2010-01-04,-19.099200000000003,3,124.81
High,0.05,155.06,7.07,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Meghalaya,Shillong,East,India,2010-01-02,2010-01-09,845.6639999999999,8,1225.6
High,0.09,9.11,2.15,Express Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Parbhani,West,India,2010-01-02,2010-01-04,20.2996,4,34.41
High,0.08,15.04,1.97,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Parbhani,West,India,2010-01-02,2010-01-02,108.5163,11,157.27
High,0.03,4.26,1.2,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Ghaziabad,North,India,2010-01-03,2010-01-04,9.82,29,122.23
High,0.03,4.26,1.2,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Kerala,Pathanamthitta,South,India,2010-01-03,2010-01-04,18.658,7,29.5
Low,0.08,43.22,16.71,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Andhra Pradesh,Vizianagaram,South,India,2010-01-03,2010-01-05,280.27458,3,130.62
Low,0.05,574.74,24.49,Regular Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Large Box,Andhra Pradesh,Vizianagaram,South,India,2010-01-03,2010-01-10,-112.4263,12,6945.16
High,0.04,10.14,2.27,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Andhra Pradesh,Vizianagaram,South,India,2010-01-03,2010-01-07,24.924,3,30.94
Not Specified,0.0001,213.45,14.7,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Madhya Pradesh,Dewas,West,India,2010-01-03,2010-01-05,-560.81418,1,224.12
High,0.09,5.98,4.69,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Punjab,Hoshiarpur,West,India,2010-01-05,2010-01-06,-781.1342,11,65.85
Not Specified,0.01,150.98,30.0,Delivery Truck,Personel Usage,Preserved Food,Sundried Tomatoes,Jumbo Drum,Jharkhand,Giridih,North,India,2010-01-06,2010-01-08,131.382,6,958.46
High,0.01,28.28,13.99,Express Air,Personel Usage,Processed Meat,Fresh Water Eel,Medium Box,Jharkhand,Giridih,North,India,2010-01-06,2010-01-08,-89.292,12,368.84
Not Specified,0.03,35.99,1.1,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Jharkhand,Giridih,North,India,2010-01-06,2010-01-07,-211.036,1,30.86
Not Specified,0.06,1.7,1.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Jammu And Kashmir,Jammu,North,India,2010-01-06,2010-01-07,80.0712,7,12.15
High,0.01,30.98,5.09,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Jammu And Kashmir,Jammu,North,India,2010-01-06,2010-01-08,896.406,9,288.42
High,0.03,3.28,3.97,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Azamgarh,North,India,2010-01-06,2010-01-08,-90.7556,7,24.57
High,0.08,15.99,13.18,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Madhya Pradesh,Bhopal,West,India,2010-01-07,2010-01-08,-246.92615999999998,12,192.33
Low,0.03,297.64,14.7,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Tamil Nadu,Coimbatore,South,India,2010-01-10,2010-01-15,-48.971999999999994,12,3707.05
High,0.02,6.48,9.17,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Guna,West,India,2010-01-10,2010-01-11,-105.68520000000001,4,28.2
Low,0.08,399.98,12.06,Delivery Truck,Personel Usage,Canned Foods,Sliced Pineapple,Jumbo Box,Madhya Pradesh,Dhar,West,India,2010-01-11,2010-01-18,28.5141,5,1839.91
High,0.02,48.04,5.09,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Maharashtra,Baramati,West,India,2010-01-13,2010-01-13,105.25259999999999,3,152.54
High,0.07,5.98,5.79,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Rajasthan,Kota,West,India,2010-01-13,2010-01-15,-41.9727,13,77.42
Critical,0.08,115.99,56.14,Delivery Truck,Restaurant Chain,Canned Foods,Sliced Pineapple,Jumbo Drum,Uttar Pradesh,Allahabad,North,India,2010-01-14,2010-01-16,-272.860884,5,562.93
High,0.08,4.28,0.94,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Allahabad,North,India,2010-01-14,2010-01-17,10.5792,7,29.18
High,0.08,8.09,7.96,Express Air,Restaurant Chain,Preserved Food,Marmalade,Small Box,Himachal Pradesh,Hamirpur,North,India,2010-01-15,2010-01-16,15.984,6,48.25
High,0.09,2.88,0.7,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Kerala,Trivandrum,South,India,2010-01-15,2010-01-16,-172.71800000000002,2,5.5
Low,0.04,22.72,8.99,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Maharashtra,Solapur,West,India,2010-01-16,2010-01-20,-678.496,9,202.41
High,0.03,90.48,19.99,Regular Air,Hotels / Hospitals,Processed Meat,Caviar,Small Box,Rajasthan,Bharatpur,West,India,2010-01-17,2010-01-19,15.354,1,99.69
High,0.06,22.84,8.18,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Rajasthan,Bharatpur,West,India,2010-01-17,2010-01-17,-357.924,7,152.49
High,0.05,28.15,6.17,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Small Pack,Bihar,Muzaffarpur,North,India,2010-01-17,2010-01-18,-66.248,10,282.38
High,0.05,14.81,13.32,Regular Air,Restaurant Chain,Processed Meat,Jelly Fish,Small Box,Maharashtra,Latur,West,India,2010-01-17,2010-01-20,-220.05200000000002,3,45.28
High,0.05,4.2,2.26,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Latur,West,India,2010-01-17,2010-01-19,20.393369999999997,3,13.57
High,0.09,2.88,0.7,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Lucknow,North,India,2010-01-19,2010-01-19,5.7532000000000005,10,26.38
High,0.02,60.22,3.5,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Uttar Pradesh,Basti,North,India,2010-01-20,2010-01-21,-193.914,9,541.76
Not Specified,0.04,355.98,58.92,Delivery Truck,Restaurant Chain,Preserved Food,Sundried Tomatoes,Jumbo Drum,Jharkhand,Jamshedpur,North,India,2010-01-21,2010-01-22,882.9300000000001,8,2748.21
High,0.09,19.98,8.68,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Jharkhand,Jamshedpur,North,India,2010-01-21,2010-01-22,6.680399999999999,5,93.19
High,0.07,2.89,0.5,Regular Air,Stand Alone Restaurants,Processed Meat,Oysters (Clam),Small Box,Jammu And Kashmir,Srinagar,North,India,2010-01-22,2010-01-24,441.594,12,33.02
